"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "TypeScript", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/media/dedyas/New Volume/Projects/pengumpulan-hp/next.config.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"/media/dedyas/New Volume/Projects/pengumpulan-hp/package-lock.json", "JSON", 0, 0, 0, 7229, 0, 0, 0, 0, 0, 1, 7230
"/media/dedyas/New Volume/Projects/pengumpulan-hp/package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"/media/dedyas/New Volume/Projects/pengumpulan-hp/postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/media/dedyas/New Volume/Projects/pengumpulan-hp/public/file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/media/dedyas/New Volume/Projects/pengumpulan-hp/public/globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/media/dedyas/New Volume/Projects/pengumpulan-hp/public/next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/media/dedyas/New Volume/Projects/pengumpulan-hp/public/smk.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/media/dedyas/New Volume/Projects/pengumpulan-hp/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/media/dedyas/New Volume/Projects/pengumpulan-hp/public/window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/media/dedyas/New Volume/Projects/pengumpulan-hp/tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 34, 25, 20, 7946, 232, 15, 1937, 20, 15, 218, 10462
